"";"id";"raça";"idade";"ing_nat";"gênero";"mão_dom";"fonte";"país";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8";"A9";"A10";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"O9";"O10";"extr";"neur";"amab";"cons";"aber";"fluid";"wellb";"empa";"E";"N";"A";"C";"O"
"9870";"s9870";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";48;"Não";"Masculino";"Direita";1;"JP";1;4;2;4;3;3;2;3;5;4;4;3;4;1;2;2;2;2;3;4;4;3;1;4;2;4;3;3;4;3;4;4;5;4;1;4;4;1;4;4;3;2;2;2;3;3;4;3;4;3;2,5;3,1;3,7;3,3;3,3;0,877651148155311;-3,32450281292652;3,04367175252349;15;18;18;18;17
"6625";"s6625";"Caucasiano (Europeu)";22;"Sim";"Masculino";"Direita";1;"US";3;3;3;3;3;2;3;4;4;3;2;4;2;4;1;1;2;1;5;1;2;3;4;2;2;2;3;4;3;4;2;4;5;2;2;3;4;2;3;5;4;1;4;1;4;2;5;4;5;5;3,1;1,9;2,9;3,4;4,5;1,65041996074246;-1,88131237293083;0,927648627392185;16;8;15;20;23
"15614";"s15614";"Caucasiano (Norte Africano, Outro)";20;"Sim";"Masculino";"Esquerda";5;"CA";3;1;4;4;3;3;2;4;2;4;4;3;4;3;1;3;3;2;2;2;5;2;2;4;1;4;2;4;4;4;4;2;4;2;4;1;5;3;4;4;3;3;4;2;3;2;3;4;4;3;2,8;2,7;4;4,1;3,5;2,10598300729113;-3,08575555472182;0,718071138116075;14;13;19;19;19
"18660";"s18660";"Caucasiano (Europeu)";20;"Não";"Masculino";"Direita";1;"DE";1;2;4;3;2;1;2;2;2;3;2;3;3;2;2;2;2;2;2;2;3;4;3;2;4;2;2;2;4;3;3;2;4;2;3;2;4;2;5;4;3;2;3;3;4;3;3;4;3;3;3;2,4;2,9;3,9;3,3;1,63394755572301;-2,91853105817622;1,92302149939287;18;14;15;20;15
"7146";"s7146";"Caucasiano (Europeu)";60;"Sim";"Feminino";"Direita";1;"US";3;3;3;4;3;3;1;4;2;4;5;1;5;1;3;5;3;4;4;5;5;4;1;4;2;4;4;4;3;4;3;3;5;4;1;3;5;2;4;5;5;4;4;2;3;4;4;5;4;5;2,4;4,4;3,9;3,5;3,8;2,31960405557282;-2,74479742152574;1,74571609082228;12;23;22;19;18
"191";"s191";"Raça Mista";20;"Não";"Feminino";"Direita";1;"IN";5;1;5;3;1;5;1;1;5;5;5;1;1;5;5;1;2;1;1;1;1;5;1;5;5;5;1;5;5;5;1;1;5;5;1;5;1;5;4;5;1;1;5;2;3;5;4;1;1;4;3,2;2,3;4,2;2,5;2,9;2,57987372000102;-3,07975356383495;2,06586696934523;17;13;21;17;15
"2785";"s2785";"Caucasiano (Europeu)";16;"Não";"Masculino";"Direita";1;"PT";4;1;3;5;5;4;3;2;4;4;3;3;5;5;2;3;1;1;3;4;1;5;5;4;2;4;1;4;4;4;3;1;5;5;4;4;4;1;5;4;2;1;5;4;3;3;1;3;4;2;3,3;2,6;3,6;3,8;3;1,62388893597802;-1,55958547046941;3,45430889536014;17;15;15;20;15
"753";"s753";"Caucasiano (Europeu)";27;"Não";"Feminino";"Direita";3;"(nu";3;2;5;2;3;2;4;1;4;4;2;4;4;2;3;2;3;2;2;1;4;4;1;5;2;4;1;4;4;3;4;1;4;3;4;1;2;1;3;4;5;1;5;2;4;1;4;3;4;4;3,8;2,5;4,2;3,9;4,3;2,24999488379075;-0,701449278630651;3,05918929489159;19;14;20;21;22
"12093";"s12093";"Caucasiano (Europeu)";18;"Sim";"Feminino";"Direita";2;"US";1;3;3;4;4;5;1;5;1;5;5;3;5;3;3;4;5;5;4;3;4;4;1;5;4;3;4;5;4;5;4;1;5;1;2;1;5;2;5;5;4;2;4;2;5;1;5;5;5;5;1,8;4;3,9;4,5;4,6;1,23055585116087;-4,13608240202722;0,942595253636523;7;17;23;24;23
"9491";"s9491";"Caucasiano (Europeu)";21;"Sim";"Feminino";"Direita";2;"GB";4;1;5;1;5;1;5;2;5;4;3;3;4;2;3;4;4;2;3;2;5;5;4;4;1;4;1;5;4;5;4;4;4;3;2;2;4;2;4;4;4;1;3;1;5;2;5;4;4;4;4,5;3,2;4,4;3,5;4,3;2,22081038904719;0,308317141613462;2,56040120893314;21;16;22;17;21
"6803";"s6803";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";15;"Não";"Feminino";"Direita";2;"MY";3;3;5;3;4;2;3;5;1;3;5;4;4;1;2;5;4;4;2;5;3;5;1;5;1;5;1;5;5;4;2;5;5;3;2;4;2;4;2;4;2;3;3;1;3;2;5;2;5;3;3;3,8;4,7;2,5;3,5;1,29644816009345;-1,05477545598111;2,36393964132848;12;18;22;15;22
"6329";"s6329";"Caucasiano (Europeu)";19;"Sim";"Feminino";"Direita";5;"US";2;2;4;3;4;2;1;3;1;5;3;3;4;2;1;4;2;2;3;3;4;5;2;3;4;1;1;5;2;3;4;1;4;1;5;1;5;1;5;3;4;3;3;3;3;3;4;4;3;4;2,7;2,9;3,4;4,6;3,4;1,24946885313925;-2,0389556550381;3,03083788332164;13;15;21;22;16
"6410";"s6410";"Caucasiano (Europeu)";26;"Sim";"Masculino";"Esquerda";2;"US";3;3;2;2;3;2;3;2;4;3;2;4;2;4;2;1;2;1;2;1;5;4;2;4;2;3;2;4;4;3;4;4;4;2;3;4;3;2;4;4;4;2;4;2;3;2;4;4;4;3;3,3;1,7;3,9;3,4;3,8;1,99477644418994;1,32826845849852;2,35503742491641;18;9;20;18;20
"15289";"s15289";"Caucasiano (Europeu)";21;"Não";"Feminino";"Direita";1;"RO";1;5;1;4;1;5;2;5;1;5;2;3;5;4;3;4;1;1;4;1;2;1;3;3;3;1;5;3;1;1;2;1;4;1;2;1;4;4;1;3;4;5;5;5;1;1;4;1;4;3;1,2;2,6;1,9;3,3;2,9;3,04523155286322;-2,53150940059181;1,18168835228895;5;14;10;19;19
"4817";"s4817";"Outro";45;"Sim";"Feminino";"Direita";5;"US";1;1;5;3;5;1;2;5;3;4;4;1;5;3;4;4;3;3;4;3;5;1;1;5;1;5;1;5;5;5;5;1;5;1;5;1;5;3;5;5;3;1;4;3;5;5;5;2;5;5;3,2;3,8;4,6;4,8;3,8;2,28988483698456;-2,76348811376093;2,47794612238924;16;20;21;23;18
"4272";"s4272";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";20;"Sim";"Masculino";"Direita";1;"CA";1;5;1;5;2;4;2;5;1;5;5;2;5;2;2;1;3;3;1;4;3;1;1;2;2;4;4;4;2;3;5;2;5;2;3;2;5;3;5;4;2;1;3;1;4;2;4;3;4;3;1,3;3,2;3;4,2;3,7;2,89559691043285;-0,72871530391338;0,959667345683867;6;19;16;20;20
"7924";"s7924";"Caucasiano (Indiano)";16;"Sim";"Feminino";"Esquerda";1;"AE";2;4;2;4;3;3;2;5;2;4;2;4;4;2;4;4;4;4;4;3;4;5;2;5;2;3;2;4;4;4;3;4;4;4;2;4;4;3;3;3;3;3;4;3;4;2;5;3;5;4;2,1;3,5;4,1;2,8;3,8;1,50531238168638;-0,961337610337724;2,4563282387565;10;17;21;14;21
"5837";"s5837";"Caucasiano (Europeu)";34;"Não";"Feminino";"Direita";1;"DK";1;4;2;4;2;1;1;4;1;5;3;4;5;2;1;3;4;4;4;3;1;4;3;5;2;4;4;2;4;3;5;4;4;1;4;1;1;3;1;5;2;1;5;1;5;1;5;2;5;5;1,9;3,3;3,2;3,5;4,4;1,45977901991736;0,234682395821942;2,83808299887499;11;15;13;19;25
"10736";"s10736";"Caucasiano (Médio Leste)";18;"Sim";"Feminino";"Direita";2;"US";3;3;3;3;3;3;3;3;3;5;4;4;4;3;4;3;5;5;5;2;5;5;2;4;2;5;2;4;5;5;5;4;4;4;5;2;5;2;5;5;4;2;5;1;5;1;5;5;5;5;2,8;3,7;4,5;4,1;4,8;2,73712820521189;-4,24224396398356;3,90639834132785;13;15;23;17;25
