"";"id";"raça";"idade";"ing_nat";"gênero";"mão_dom";"fonte";"país";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8";"A9";"A10";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"O9";"O10";"extr";"neur";"amab";"cons";"aber";"fluid";"wellb";"empa";"E";"N";"A";"C";"O"
"3717";"s3717";"Caucasiano (Europeu)";25;"Não";"Feminino";"Direita";1;"A1";3;3;2;3;3;3;1;2;2;1;5;4;5;4;4;4;3;3;4;4;3;3;4;4;3;4;3;3;4;3;5;1;4;2;1;2;4;2;4;4;4;4;5;5;4;5;5;5;5;4;2,3;4;3,4;2,9;4,6;4,09521824182627;-3,17162938826985;1,08382308841839;11;21;16;13;25
"11594";"s11594";"Caucasiano (Europeu)";22;"Não";"Feminino";"Direita";1;"RS";2;4;3;4;4;4;3;4;4;4;3;3;4;4;4;3;4;4;4;3;4;3;4;4;4;3;4;4;3;3;4;5;3;4;2;4;4;3;4;4;5;4;4;4;4;4;4;4;3;4;3,6;3,6;3,6;3,7;4;4,32649610812272;-2,15643354350368;2,42542620455384;20;18;18;19;19
"9910";"s9910";"Caucasiano (Europeu)";52;"Sim";"Masculino";"Direita";1;"US";3;3;4;5;3;5;4;3;5;1;4;1;2;3;4;4;3;1;4;2;5;2;5;5;3;5;5;5;4;2;1;1;1;1;1;1;1;5;1;3;5;5;5;5;5;5;5;3;5;5;3,6;2,8;4,1;1,6;4,8;2,63596403683723;-0,851961098846336;1,33299340220513;17;12;19;11;25
"12777";"s12777";"Caucasiano (Indiano)";14;"Sim";"Feminino";"Direita";1;"GB";3;5;2;2;4;4;4;1;2;2;4;3;5;2;3;5;4;3;4;3;4;5;2;5;5;4;4;4;4;4;4;3;4;2;4;1;5;3;5;4;2;2;4;4;3;4;4;3;5;3;2,9;3,6;4,1;3,5;3,4;1,9955856651614;-2,32192989068487;5,35738891022168;14;16;19;16;21
"10669";"s10669";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";15;"Sim";"Feminino";"Direita";1;"AU";2;4;3;3;3;4;4;3;2;4;5;4;5;2;4;5;4;2;2;4;1;4;4;5;4;5;4;4;4;3;4;4;4;2;3;4;5;3;3;2;2;3;3;4;2;1;4;2;4;2;3,2;3,7;3,8;3,4;2,7;1,94191798412805;-1,79111418728693;1,71448375556906;17;19;16;15;16
"16610";"s16610";"Caucasiano (Europeu)";16;"Sim";"Feminino";"Direita";5;"NZ";4;4;5;4;4;4;5;3;4;4;2;1;2;2;1;1;4;5;4;2;1;4;1;1;1;1;2;1;1;2;5;1;2;3;1;2;2;1;2;4;5;5;5;5;5;5;5;5;3;5;4,1;2,4;1,5;2,3;4,8;2,18768860713119;-2,70971947378787;0,48789554333844;19;8;9;11;23
"10733";"s10733";"Caucasiano (Europeu)";18;"Sim";"Feminino";"Direita";1;"US";4;5;5;5;5;5;4;4;5;4;5;3;5;2;1;4;4;3;4;3;5;4;5;5;5;5;5;4;4;4;4;4;5;5;2;2;3;3;3;4;3;4;4;2;5;3;4;2;4;5;4,6;3,4;4,6;3,5;3,6;1,476257717681;-1,95809579520354;4,31188208795585;23;14;22;21;17
"14470";"s14470";"Caucasiano (Europeu)";23;"Não";"Feminino";"Direita";1;"RS";2;1;2;1;4;2;4;1;1;3;1;2;2;4;2;2;1;2;2;2;5;2;4;1;2;2;1;2;2;3;3;1;4;4;3;1;4;4;2;4;2;5;5;5;4;5;5;3;4;5;2,1;2;2,4;3;4,3;4,03137434986646;-1,18369455122412;1,38373324954882;8;12;16;17;24
"17965";"s17965";"Caucasiano (Europeu)";25;"Sim";"Masculino";"Esquerda";3;"JP";4;2;3;3;5;3;4;1;3;2;5;2;4;4;4;2;3;3;2;4;5;5;4;4;4;4;4;3;4;2;3;3;4;2;1;4;4;2;2;5;4;5;5;5;4;5;4;4;5;5;3;3,3;3,9;3;4,6;2,57302597810837;-2,0444315971448;1,8896146650131;11;18;19;16;24
"12581";"s12581";"Caucasiano (Europeu)";22;"Sim";"Feminino";"Direita";1;"US";4;4;4;3;4;4;4;4;4;2;5;3;4;2;1;2;2;2;1;2;5;2;4;5;4;4;4;4;5;4;4;5;5;4;5;5;4;4;4;4;5;4;4;4;4;4;4;4;4;3;3,7;2,4;4,1;4,4;4;1,14984971776175;0,377159682108108;3,35990474117053;18;12;19;22;20
"18894";"s18894";"Caucasiano (Europeu)";20;"Sim";"Masculino";"Direita";1;"US";3;4;4;4;4;4;4;3;4;3;3;3;3;3;2;3;2;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;5;5;4;3;3;2;4;3;3;3;4;3;3;4;3;3,7;2,7;4;3,8;3,2;0,209403612582413;-1,41166364255782;1,73955825351275;18;14;20;18;17
"14798";"s14798";"Caucasiano (Europeu)";31;"Sim";"Masculino";"Esquerda";1;"IE";2;3;2;3;3;3;2;2;3;2;3;2;3;2;3;2;2;2;4;2;4;4;2;3;4;4;2;4;3;4;4;2;3;4;4;4;4;4;4;3;4;3;3;3;5;3;4;4;4;4;2,5;2,5;3,4;3,6;3,7;3,17106794108293;-1,50061601989347;3,07675778631133;13;12;18;16;17
"16257";"s16257";"Caucasiano (Europeu)";23;"Não";"Feminino";"Direita";2;"US";4;3;4;2;3;3;3;3;3;3;3;2;3;2;3;2;2;2;3;3;5;2;3;3;4;2;4;2;3;3;4;3;4;2;3;3;3;5;4;2;2;2;4;5;3;3;3;1;3;3;3,1;2,5;3,1;3,3;2,9;1,41164023784755;-1,10754338763455;1,97394556656747;15;13;15;16;18
